Arrest and Detention,arbitrary or unlawful arrest,,Albania,1/4/2008,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,poor or degrading conditions,,Albania,1/4/2008,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,arbitrary or unlawful arrest,,Algeria,12/12/1989,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,arbitrary or unlawful detention,,Algeria,12/12/1989,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,juvenile held with adults,,Uruguay,3/23/1976,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,accused held with convicted,,Uruguay,3/23/1976,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,poor or degrading conditions,,Uzbekistan,12/28/1995,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,arbitrary or unlawful detention,on the basis of disability,Afghanistan,10/18/2012,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Arrest and Detention,arbitrary or unlawful detention,on the basis of disability,Andorra,4/10/2014,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Arrest and Detention,arbitrary or unlawful detention,on the basis of disability,Angola,6/18/2014,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Arrest and Detention,arbitrary or unlawful detention,on the basis of disability,Argentina,10/2/2008,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Arrest and Detention,arbitrary or unlawful detention,on the basis of disability,Australia,9/20/2009,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Arrest and Detention,resulting in an enforced disappearance,,Serbia,6/17/2011,Art. 31 CED declaration,30 days after deposit,International Convention for the Protection of All Persons from Enforced Disappearance,UN Committee on Enforced Disappearances,http://www.ijrcenter.org/un-treaty-bodies/committee-on-enforced-disappearances/
Arrest and Detention,arbitrary or unlawful arrest,resulting in an enforced disappearance,Serbia,6/17/2011,Art. 31 CED declaration,30 days after deposit,International Convention for the Protection of All Persons from Enforced Disappearance,UN Committee on Enforced Disappearances,http://www.ijrcenter.org/un-treaty-bodies/committee-on-enforced-disappearances/
Arrest and Detention,arbitrary or unlawful detention,resulting in an enforced disappearance,Serbia,6/17/2011,Art. 31 CED declaration,30 days after deposit,International Convention for the Protection of All Persons from Enforced Disappearance,UN Committee on Enforced Disappearances,http://www.ijrcenter.org/un-treaty-bodies/committee-on-enforced-disappearances/
Arrest and Detention,arbitrary or unlawful detention,for children under 18,Andorra,12/25/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Arrest and Detention,arbitrary or unlawful arrest,for children under 18,Andorra,12/25/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Arrest and Detention,juvenile held with adults,,Andorra,12/25/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Arrest and Detention,arbitrary or unlawful arrest,,Uruguay,4/19/1985,American Convention,upon deposit,American Convention on Human Rights,Inter-American Commission on Human Rights,http://www.ijrcenter.org/regional/inter-american-system/#Inter-American_Commission_on_Human_Rights
Arrest and Detention,arbitrary or unlawful detention,,Uruguay,4/19/1985,American Convention,upon deposit,American Convention on Human Rights,Inter-American Commission on Human Rights,http://www.ijrcenter.org/regional/inter-american-system/#Inter-American_Commission_on_Human_Rights
Assembly,public protest or demonstration,,Albania,1/4/2008,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
